"","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
"44",2005,50,"Never Married","Other","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.30102999566398",73.7757432746946
"45",2004,39,"Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.39794000867204",81.2832532842527
"46",2008,52,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.04139268515823",154.68529299563
"47",2009,35,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.59061783348625",267.901086855275
"48",2007,57,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.17609125905568",176.989650489877
"49",2006,25,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.19312459835446",66.2294082943902
"50",2006,33,"Never Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.75587485567249",116.265324062503
"51",2005,57,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","5.30102999566398",200.543262324662
"52",2008,71,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.6232492903979",101.82435207568
"53",2004,43,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.60688524128857",272.294783220064
"54",2003,23,"Never Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","3.55630250076729",35.0334213214995
"55",2009,30,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"56",2004,22,"Never Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"57",2006,59,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","5.30102999566398",200.543262324662
"58",2003,28,"Never Married","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5",148.413159102577
"59",2004,61,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"60",2003,34,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.7160033436348",111.720849360989
"61",2005,43,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.02938377768521",152.838800991182
"62",2006,54,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.76342799356294",117.146816914805
"63",2005,69,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.3533390953113",77.7376033039781
"64",2004,41,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.47712125471966",87.9810327856054
"65",2003,48,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.83250891270624",125.525498433836
"66",2003,49,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.81491318127507",123.336103962059
"67",2009,42,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.06445798922692",158.294621427791
"68",2003,37,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.30102999566398",200.543262324662
"69",2004,55,"Married","Asian","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"70",2008,21,"Never Married","Black","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.25527250510331",70.4760196469445
"71",2004,58,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"72",2006,31,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.39794000867204",81.2832532842527
"73",2006,25,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"74",2006,32,"Never Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.61278385671974",100.764272842107
"75",2009,40,"Never Married","Black","< HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"76",2003,44,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","4.60205999132796",99.6894636984864
"77",2003,60,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.59198011410292",268.266292012557
"78",2006,23,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.39794000867204",81.2832532842527
"79",2003,63,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.73239375982297",113.567089569751
"80",2008,44,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.47712125471966",87.9810327856054
"81",2005,47,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.85733249643127",128.680488220624
"82",2004,61,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.67024585307412",106.723977625299
"83",2009,55,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","4.19033169817029",66.0446942318056
"84",2003,24,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","3.94200805302231",51.521956314716
"85",2007,42,"Widowed","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.44715803134222",85.3839403789827
"86",2006,25,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.34242268082221",76.8936025176112
"87",2004,34,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.50514997831991",90.4819133566401
"88",2009,53,"Married","White","< HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.22063101944809",68.0764282889521
"89",2009,53,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.8750612633917",130.982177377461
"90",2009,70,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","2. No","4.85125834871908",127.901232979118
"91",2004,47,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.87691031134463",131.224593755096
"92",2003,46,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"93",2003,33,"Divorced","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.34242268082221",76.8936025176112
"94",2006,34,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good",NA,"4.68124123737559",107.903923866876
"95",2006,22,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.39794000867204",81.2832532842527
"96",2009,74,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"97",2003,40,"Married","Black","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.5910646070265",98.5993438603892
"98",2006,45,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.30102999566398",200.543262324662
"99",2009,43,"Married","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.05307844348342",156.503510882633
"100",2005,33,"Married","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.97634997900327",144.944364980516
"101",2009,62,"Married","Black","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"102",2008,37,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.79934054945358",121.430313822622
"103",2004,54,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.7160033436348",111.720849360989
"104",2005,34,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.23044892137827",68.7480877337669
"105",2008,50,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"106",2006,46,"Divorced","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.55630250076729",95.2307125669819
"107",2007,41,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.47712125471966",87.9810327856054
"108",2003,63,"Divorced","Black","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.16316137497702",64.2743972206327
"109",2007,38,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.85733249643127",128.680488220624
"110",2006,35,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"111",2009,29,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.72427586960079",112.6488963421
"112",2008,66,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"113",2004,37,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.32935719413155",75.8954848228103
"114",2006,39,"Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.719720651334",112.136922992214
"115",2003,42,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.44715803134222",85.3839403789827
"116",2007,51,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"117",2009,55,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.74036268949424",114.475713290347
"118",2006,51,"Married","White","5. Advanced Degree",NA,"Industrial",">=Very Good","1. Yes","5.17609125905568",176.989650489877
"119",2008,38,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial","<=Good","1. Yes","5.62321723414596",276.778413321176
"120",2005,49,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.6232492903979",101.82435207568
"121",2006,42,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.51851393987789",91.6992261117042
"122",2009,43,"Separated","White","< HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.46239799789896",86.6951548289402
"123",2006,38,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.09342168516223",162.946460744664
"124",2008,59,"Married","Asian","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.93601079571521",139.213788138664
"125",2009,57,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.55630250076729",95.2307125669819
"126",2005,25,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.20411998265593",66.9616443217359
"127",2004,49,"Married","White","College Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.8766796104192",131.194323611687
"128",2004,41,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.50514997831991",90.4819133566401
"129",2009,38,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"130",2003,61,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.37106786227174",79.1280844956297
"131",2007,49,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.65006456117768",104.591737924918
"132",2008,52,"Divorced","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.88649072517248",132.487821126123
"133",2007,43,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.95424250943933",141.77517233318
"134",2008,60,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.81291335664286",123.089699847943
"135",2005,46,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.90308998699194",134.705375118879
"136",2004,21,"Never Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.02118929906994",55.7673905084923
"137",2009,61,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.67209785793572",106.921814091211
"138",2007,32,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"139",2004,58,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.47712125471966",87.9810327856054
"140",2003,35,"Never Married","White","HS Grad",NA,"Information",">=Very Good","1. Yes","4.48784512011144",88.9296066367913
"141",2004,26,"Never Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"142",2006,32,"Never Married","Black","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.54406804435028",94.0727147457005
"143",2003,37,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.67209785793572",106.921814091211
"144",2007,22,"Never Married","Asian","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.07918124604763",59.0970640815891
"145",2005,51,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.17609125905568",65.1108537153447
"146",2004,44,"Divorced","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.79239168949825",120.589436530402
"147",2005,35,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.06069784035361",157.700527725737
"148",2004,60,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.86332286012046",129.453644576625
"149",2007,40,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.17609125905568",176.989650489877
"150",2004,35,"Never Married","White","< HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.07918124604763",59.0970640815891
"151",2007,35,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","4.54406804435028",94.0727147457005
"152",2008,47,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.90308998699194",134.705375118879
"153",2006,43,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"154",2003,33,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.39794000867204",81.2832532842527
"155",2003,60,"Divorced","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.03342375548695",153.457515308961
"156",2008,38,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.91907809237607",136.876367635184
"157",2005,53,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.31806333496276",75.0431540173515
"158",2004,55,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.86923171973098",130.220832358777
"159",2003,57,"Married","Black","HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.65321251377534",104.921506533664
"160",2005,64,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","2. No","3.90308998699194",49.5553381215226
"161",2007,43,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.81954393554187",123.908567597957
"162",2008,35,"Married","Black","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.81291335664286",123.089699847943
"163",2008,54,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.35869609957381",78.155161407934
"164",2007,45,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.30102999566398",73.7757432746946
"165",2003,58,"Divorced","Asian","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.92941892571429",138.299126920883
"166",2007,48,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","2. No","4.84509804001426",127.115743812184
"167",2003,46,"Married","Asian","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.23044892137827",68.7480877337669
"168",2004,46,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.43546212055982",84.39111474778
"169",2009,55,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.44715803134222",85.3839403789827
"170",2006,51,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.85733249643127",128.680488220624
"171",2005,49,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.25527250510331",70.4760196469445
"172",2008,34,"Never Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.34242268082221",76.8936025176112
"173",2007,53,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","5",148.413159102577
"174",2004,40,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5",NA
"175",2009,50,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.17026171539496",175.960883130401
"176",2006,37,"Divorced","White","< HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.5910646070265",98.5993438603892
"177",2003,39,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77815125038364",145.143601176911
"178",2004,52,"Married","White","College Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.60205999132796",99.6894636984864
"179",2003,50,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.94939000664491",141.08887439127
"180",2006,48,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.81291335664286",123.089699847943
"181",2006,47,"Married","White",NA,"2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.86332286012046",129.453644576625
"182",2005,27,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.7160033436348",111.720849360989
"183",2006,39,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.64345267648619",103.90247060316
"184",2009,44,"Married","Black","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.77815125038364",118.884359339886
"185",2003,37,"Married","Black","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.02118929906994",151.591484239814
"186",2006,52,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.6232492903979",101.82435207568
"187",2004,26,"Never Married","Asian","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"188",2008,39,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.60205999132796",99.6894636984864
"189",2006,25,"Married","Black","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.60205999132796",99.6894636984864
"190",2005,31,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.54406804435028",94.0727147457005
"191",2004,58,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","5.02530586526477",152.216806827106
"192",2005,30,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.65321251377534",104.921506533664
"193",2004,27,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.17609125905568",65.1108537153447
"194",2003,40,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.55630250076729",95.2307125669819
"195",2006,55,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.15836249209525",173.879493310012
"196",2009,35,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.26481782300954",193.411070530969
"197",2008,48,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.74036268949424",114.475713290347
"198",2006,29,"Never Married","Asian","College Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","5.07918124604763",160.642475408263
"199",2005,25,"Never Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.49415459401844",89.4924795180001
"200",2004,40,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.79239168949825",120.589436530402
"201",2006,27,"Married","White","< HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.30102999566398",73.7757432746946
"202",2006,44,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.84509804001426",127.115743812184
"203",2006,42,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"204",2003,22,"Never Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","2. No","3.54406804435028",34.6074177301288
"205",2007,45,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.74036268949424",114.475713290347
"206",2007,33,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.44715803134222",85.3839403789827
"207",2007,63,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.76312762749814",318.342430056529
"208",2006,49,"Never Married","Black","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.95424250943933",141.77517233318
"209",2005,39,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.8750612633917",130.982177377461
"210",2007,25,"Never Married","Other","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.30102999566398",73.7757432746946
"211",2005,29,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.8750612633917",130.982177377461
"212",2006,37,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.31806333496276",75.0431540173515
"213",2008,35,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","5.04336227802113",154.990260276812
"214",2009,46,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.65321251377534",104.921506533664
"215",2008,58,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.29207877211666",73.118306923864
"216",2003,39,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.81291335664286",123.089699847943
"217",2008,41,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.06069784035361",157.700527725737
"218",2008,29,"Married","Black","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"219",2009,37,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.67521907955274",107.256062128429
"220",2009,62,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.36921585741014",78.9816745162994
